"Step","val_rev_accuracy"	"val_math_accuracy"	"val_ans_accuracy"
"1000","34.00356135925212"	"69.80033514158312"	"60.75974360240038"
"2000","65.75601249727531"	"79.07074089577229"	"80.99342182169842"
"3000","84.1438406327816"	"86.47532660935491"	"92.14406413467721"
"4000","87.72696953976136"	"91.47135217723454"	"96.86687284740283"
"5000","87.91565287915653"	"94.2046397208158"	"98.3673239198325"
"6000","89.48549099066503"	"94.35420088823994"	"99.00937648990835"
"7000","93.18131666053696"	"93.89251362077083"	"99.09621022107926"
"8000","92.93795755379723"	"94.5961201390333"	"99.42423944906518"
"9000","91.36081721999271"	"95.7819422823614"	"99.56429244267888"
"10000","91.47309614819171"	"94.91964285714286"	"99.61828013996394"
"11000","94.08602150537635"	"95.2781436822373"	"99.72557339328499"
"12000","93.31546821497693"	"95.20610507086244"	"99.61098911892017"
"13000","92.06221702935592"	"95.91003872505213"	"99.70428048676709"
"14000","91.70916508815387"	"95.28870751614082"	"99.77459023599454"
"15000","94.35784851811196"	"95.66697211676922"	"99.8225314619323"
"16000","93.78018874934978"	"95.85870889159561"	"99.73472294646513"
"17000","91.9286075583496"	"96.34749123512846"	"99.79064227957801"
"18000","91.99671813231893"	"95.3964353479113"	"99.80402211248709"
"19000","94.39245608983587"	"96.07672771019918"	"99.82186587589638"
"20000","93.50332594235033"	"95.95672832680872"	"99.75725856522975"
"21000","91.55336997396587"	"96.38509670079635"	"99.7962752563477"
"22000","92.97418630751964"	"95.82868395142764"	"99.78801404844194"
"23000","94.28095100028993"	"96.16854514833527"	"99.83717545226104"
"24000","93.2666862687445"	"96.52604714006905"	"99.76435543870444"
"25000","91.41428778437908"	"96.4056123875007"	"99.84588428806408"
"26000","93.3619795525263"	"96.27754028280171"	"99.8436135782686"
"27000","93.83321141185077"	"96.09615263917655"	"99.84156435831805"
"28000","94.0076843505246"	"96.67032564946945"	"99.78957302899488"
"29000","90.57456423499032"	"96.54291602565964"	"99.82746230851873"
"30000","94.01816704822392"	"96.62478602112334"	"99.89050992099816"
"31000","94.36081944342463"	"95.94352235301791"	"99.82326517587569"
"32000","92.82590973097162"	"96.80167558234977"	"99.792039702793"
"33000","91.43668535644069"	"96.41553467775717"	"99.83428818276455"
"34000","94.049102235251"	"96.50605616930653"	"99.89423603986"
"35000","94.24677716390424"	"96.05267244324358"	"99.8454051964935"
"36000","92.30826286901053"	"97.0460243811061"	"99.80711424609125"
"37000","92.03997986625441"	"96.45056578588114"	"99.84505721916621"
"38000","94.26751592356688"	"96.40332504254484"	"99.89943755601504"
"39000","94.69197123582178"	"96.28075297266065"	"99.83007140504671"
"40000","91.94757917728431"	"97.02075200328744"	"99.82698106678531"
"41000","91.62376820120606"	"96.36266698261308"	"99.85824478050918"
"42000","94.75595583962813"	"96.66197328204952"	"99.91487355909429"
"43000","93.80966587112172"	"96.42508937276568"	"99.82479916858603"
"44000","92.45283018867924"	"97.04586602293301"	"99.83321554770318"
"45000","92.06291414840166"	"96.47488693881219"	"99.86993944606188"
"46000","94.52522902428385"	"96.63200575501929"	"99.91007701639066"
"47000","94.10225743758409"	"96.48790746582546"	"99.82075465092667"
"48000","92.345643183632"	"97.14768522565043"	"99.84901719072504"
"49000","92.11379716981132"	"96.2746392530416"	"99.88444706692235"
"50000","94.59067507794938"	"96.73529411764706"	"99.8912274402543"
"51000","93.68021438142029"	"96.7654328522169"	"99.83032999940528"
"52000","92.09312382874441"	"96.80216955281222"	"99.84708717100574"
"53000","92.76021473307486"	"96.3224440023105"	"99.88679218831051"
"54000","94.41446696806184"	"96.72308246308965"	"99.88202356007115"
"55000","93.61826697892272"	"96.91818808645861"	"99.81526511904553"
"56000","91.48890013739243"	"96.91872831075786"	"99.87186030989102"
"57000","93.71153133110865"	"96.45038686032306"	"99.8960920827065"
"58000","94.12024756852342"	"96.61340852130326"	"99.86932432575226"
"59000","94.0619495008808"	"96.94190513057201"	"99.81883867531477"
"60000","90.81119885139985"	"96.82805639010861"	"99.85799903197335"
"61000","94.173461823573"	"96.64043189800962"	"99.91489930336992"
"62000","94.20840950639854"	"96.30211915757755"	"99.85485753951977"
