Token ID   | Count      | Decoded Value
------------------------------------------------------------
198        | 39996      | '\n'
11         | 19777      | ','
25         | 10291      | ':'
13         | 7811       | '.'
262        | 5370       | ' the'
284        | 4092       | ' to'
290        | 3703       | ' and'
26         | 3627       | ';'
314        | 3615       | ' I'
286        | 3287       | ' of'
345        | 2823       | ' you'
616        | 2668       | ' my'
257        | 2647       | ' a'
30         | 2431       | '?'
287        | 2140       | ' in'
40         | 2131       | 'I'
0          | 2108       | '!'
338        | 2063       | ''s'
326        | 1962       | ' that'
1870       | 1909       | 'And'
318        | 1902       | ' is'
407        | 1879       | ' not'
502        | 1757       | ' me'
307        | 1665       | ' be'
351        | 1591       | ' with'
340        | 1571       | ' it'
534        | 1475       | ' your'
329        | 1459       | ' for'
1549       | 1451       | ''d'
465        | 1409       | ' his'
423        | 1325       | ' have'
339        | 1307       | ' he'
428        | 1261       | ' this'
14210      | 1185       | ' thou'
683        | 1184       | ' him'
355        | 1021       | ' as'
12         | 1005       | '-'
11906      | 994        | ' thy'
9399       | 967        | 'IO'
523        | 954        | ' so'
6          | 947        | '''
481        | 939        | ' will'
475        | 888        | ' but'
2937       | 882        | 'US'
46         | 861        | 'O'
464        | 812        | 'The'
477        | 811        | ' all'
2514       | 807        | 'To'
607        | 771        | ' her'
356        | 752        | ' we'
17903      | 751        | ' thee'
416        | 739        | ' by'
2236       | 733        | ' shall'
466        | 730        | ' do'
1677       | 714        | 'EN'
389        | 703        | ' are'
674        | 701        | ' our'
645        | 675        | ' no'
2504       | 670        | 'That'
644        | 646        | ' what'
319        | 630        | ' on'
705        | 628        | ' ''
34         | 627        | 'C'
32         | 619        | 'A'
1183       | 580        | ''ll'
922        | 580        | ' good'
1537       | 543        | 'But'
422        | 527        | ' from'
33         | 524        | 'B'
52         | 524        | 'U'
517        | 509        | ' more'
379        | 501        | ' at'
15967      | 500        | ' sir'
35         | 498        | 'D'
1546       | 497        | 'ES'
51         | 497        | 'T'
783        | 490        | ' now'
611        | 484        | ' if'
561        | 475        | ' would'
373        | 475        | ' was'
15876      | 473        | ' lord'
716        | 472        | ' am'
1890       | 471        | 'For'
606        | 469        | ' them'
